"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"186",0.75,"0.62-0.85","Leopardus pardalis","Philander opossum","Felidae","Didelphidae","Leopardus","Philander",3.02471981042724,10500,"Medium-Large","ambush",510,"Small","Carnivore","Omnivore",-96.41737,17.63347,17.63347,"Central/North America","Mexico","San Isidro Yolox","Hernandez-Sanchez_2020",12,22,12800,"0.5",NA,"Yes","Hirt_2020"
"187",0.842,"0.776-0.920","Leopardus pardalis","Tapirus bairdii","Felidae","Tapiridae","Leopardus","Tapirus",-3.35240721749272,10500,"Medium-Large","ambush",3e+05,"Large","Carnivore","Herbivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"No","Hirt_2020"
"188",0.779,"0.679-0.849","Leopardus pardalis","Cuniculus paca","Felidae","Cuniculidae","Leopardus","Cuniculus",0.154150679827258,10500,"Medium-Large","ambush",9000,"Medium-Large","Carnivore","Herbivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"189",0.775,"0.692-0844","Leopardus pardalis","Didelphis marsupialis","Felidae","Didelphidae","Leopardus","Didelphis",2.21172201634829,10500,"Medium-Large","ambush",1149.875,"Small","Carnivore","Omnivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"190",0.61,"0.449-0.802","Leopardus pardalis","Tamandua mexicana","Felidae","Myrmecophagidae","Leopardus","Tamandua",0.917659525387572,10500,"Medium-Large","ambush",4194.255,"Small-Medium","Carnivore","Insectivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"191",0.821,"0.733-0.939","Leopardus pardalis","Dasypus novemcinctus","Felidae","Dasypodidae","Leopardus","Dasypus",0.977910342575517,10500,"Medium-Large","ambush",3949.01,"Small-Medium","Carnivore","Insectivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"192",0.475,"0.301-0.576","Leopardus pardalis","Mazama americana","Felidae","Cervidae","Leopardus","Mazama",-0.784118958765672,10500,"Medium-Large","ambush",23000,"Large","Carnivore","Herbivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"193",0.397,"0.279-0.446","Leopardus pardalis","Tayassu pecari","Felidae","Tayassuidae","Leopardus","Tayassu",-1.10805046576209,10500,"Medium-Large","ambush",31798.71,"Large","Carnivore","Herbivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"No","Hirt_2020"
"194",0.359,"0.226-0.405","Leopardus pardalis","Pecari tajacu","Felidae","Tayassuidae","Leopardus","Pecari",-0.669049628980885,10500,"Medium-Large","ambush",20500,"Large","Carnivore","Herbivore",-83.571968,8.539867,8.539867,"Central/North America","Costa Rica","Corcovado Nationa Park","Herrera_2018",NA,87,NA,"2.5",NA,"Yes","Hirt_2020"
"195",0.846,"0.789-0.923","Leopardus pardalis","Tapirus bairdii","Felidae","Tapiridae","Leopardus","Tapirus",-3.35240721749272,10500,"Medium-Large","ambush",3e+05,"Large","Carnivore","Herbivore",-85.66864,10.828699,10.828699,"Central/North America","Costa Rica","Santa Rosa National Park","Herrera_2018",NA,61,NA,"2.5",NA,"No","Hirt_2020"
"196",0.802,"0.708-0.905","Leopardus pardalis","Didelphis marsupialis","Felidae","Didelphidae","Leopardus","Didelphis",2.21172201634829,10500,"Medium-Large","ambush",1149.875,"Small","Carnivore","Omnivore",-85.66864,10.828699,10.828699,"Central/North America","Costa Rica","Santa Rosa National Park","Herrera_2018",NA,61,NA,"2.5",NA,"Yes","Hirt_2020"
"197",0.513,"0.421-0.561","Leopardus pardalis","Odocoileus virginianus","Felidae","Cervidae","Leopardus","Odocoileus",-1.82792301093879,10500,"Medium-Large","ambush",65320,"Large","Carnivore","Herbivore",-85.66864,10.828699,10.828699,"Central/North America","Costa Rica","Santa Rosa National Park","Herrera_2018",NA,61,NA,"2.5",NA,"Yes","Hirt_2020"
"198",0.648,"0.474-0.791","Leopardus pardalis","Dasypus novemcinctus","Felidae","Dasypodidae","Leopardus","Dasypus",0.977910342575517,10500,"Medium-Large","ambush",3949.01,"Small-Medium","Carnivore","Insectivore",-85.66864,10.828699,10.828699,"Central/North America","Costa Rica","Santa Rosa National Park","Herrera_2018",NA,61,NA,"2.5",NA,"Yes","Hirt_2020"
