;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
120;1.58;1.22-2.06;Meles meles;Genetta genetta;Mustelidae;Viverridae;Meles;Genetta;0.18315075;1.851039387;11884.03;1866.67;Omnivore;Carnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
121;1.21;1.10-1.34;Vulpes vulpes;Genetta genetta;Canidae;Viverridae;Vulpes;Genetta;0.18759617;1.401396682;7580.3;1866.67;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
122;1.73;1.22-2.63;Felis silvestris;Herpestes ichneumon;Felidae;Herpestidae;Felis;Herpestes;NA;0.534910778;5036.54;2950.01;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
123;0.02;0.00-0.17;Lynx pardinus;Herpestes ichneumon;Felidae;Herpestidae;Lynx;Herpestes;NA;1.243027142;10225;2950.01;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
124;1.61;1.04-2.34;Meles meles;Herpestes ichneumon;Mustelidae;Herpestidae;Meles;Herpestes;NA;1.393386922;11884.03;2950.01;Omnivore;Omnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
125;1.07;0.84-1.26;Vulpes vulpes;Herpestes ichneumon;Canidae;Herpestidae;Vulpes;Herpestes;NA;0.943744217;7580.3;2950.01;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
126;1.82;0.29-4.95;Meles meles;Lynx pardinus;Mustelidae;Felidae;Meles;Lynx;0.17897171;0.15035978;11884.03;10225;Omnivore;Carnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
127;1.33;1.05-1.63;Felis silvestris;Martes foina;Felidae;Mustelidae;Felis;Martes;0.17899188;1.086091087;5036.54;1700;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
128;1.78;1.46-2.2;Genetta genetta;Martes foina;Viverridae;Mustelidae;Genetta;Martes;0.18403971;0.093527844;1866.67;1700;Carnivore;Omnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
129;2.21;1.69-2.84;Herpestes ichneumon;Martes foina;Herpestidae;Mustelidae;Herpestes;Martes;NA;0.551180309;2950.01;1700;Omnivore;Omnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
